locus_tag	ftype	length_bp	gene	EC_number	COG	product
NLJHNOKD_00001	CDS	1059	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
NLJHNOKD_00002	CDS	1515	egtUBC		COG1174	putative ergothioneine transporter EgtUBC
NLJHNOKD_00003	CDS	978	uup_1	3.6.1.-		ATP-binding protein Uup
NLJHNOKD_00004	CDS	1782	recQ	5.6.2.4	COG0514	ATP-dependent DNA helicase RecQ
NLJHNOKD_00005	CDS	1878	ettA	3.6.1.-	COG0488	Energy-dependent translational throttle protein EttA
NLJHNOKD_00006	CDS	1941	ltaS		COG1368	Lipoteichoic acid synthase
NLJHNOKD_00007	CDS	1005	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
NLJHNOKD_00008	CDS	711	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
NLJHNOKD_00009	CDS	609				hypothetical protein
NLJHNOKD_00010	CDS	1152	menF	5.4.4.2		Isochorismate synthase MenF
NLJHNOKD_00011	CDS	594	trpG_1	4.1.3.27		Anthranilate synthase component 2
NLJHNOKD_00012	CDS	669	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
NLJHNOKD_00013	CDS	420	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
NLJHNOKD_00014	CDS	714	queE_1	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
NLJHNOKD_00015	CDS	585				hypothetical protein
NLJHNOKD_00016	CDS	441				hypothetical protein
NLJHNOKD_00017	CDS	474				hypothetical protein
NLJHNOKD_00018	CDS	687	saeR		COG0745	Response regulator SaeR
NLJHNOKD_00019	CDS	1056	saeS	2.7.13.3		Histidine protein kinase SaeS
NLJHNOKD_00020	CDS	984	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
NLJHNOKD_00021	CDS	840		1.1.1.-	COG0656	Aldo-keto reductase/MSMEI_2347
NLJHNOKD_00022	CDS	1350				hypothetical protein
NLJHNOKD_00023	CDS	1182	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
NLJHNOKD_00024	CDS	1959	fruA		COG1299	PTS system fructose-specific EIIABC component
NLJHNOKD_00025	CDS	921	tagK	2.7.1.234	COG1105	D-tagatose-1-phosphate kinase
NLJHNOKD_00026	CDS	765	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
NLJHNOKD_00027	CDS	483	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
NLJHNOKD_00028	CDS	453				hypothetical protein
NLJHNOKD_00029	CDS	1167	norA			Quinolone resistance protein NorA
NLJHNOKD_00030	CDS	423				hypothetical protein
NLJHNOKD_00031	CDS	618				hypothetical protein
NLJHNOKD_00032	CDS	285				hypothetical protein
NLJHNOKD_00033	CDS	1374	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
NLJHNOKD_00034	CDS	1554				hypothetical protein
NLJHNOKD_00035	CDS	288				hypothetical protein
NLJHNOKD_00036	CDS	909	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
NLJHNOKD_00037	CDS	927	yciC_1	3.6.5.-	COG0523	Zinc chaperone YciC
NLJHNOKD_00038	CDS	444	mgrA		COG1846	HTH-type transcriptional regulator MgrA
NLJHNOKD_00039	CDS	1674	cydC	7.4.2.-	COG4987	Glutathione/L-cysteine transport system ATP-binding/permease protein CydC
NLJHNOKD_00040	CDS	1632	cydD	7.4.2.-	COG4988	Glutathione/L-cysteine transport system ATP-binding/permease protein CydD
NLJHNOKD_00041	CDS	876	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
NLJHNOKD_00042	CDS	684				hypothetical protein
NLJHNOKD_00043	CDS	459				hypothetical protein
NLJHNOKD_00044	CDS	567		3.2.2.-		Cytokinin riboside 5'-monophosphate phosphoribohydrolase
NLJHNOKD_00045	CDS	543		2.3.1.-		Acetyltransferase
NLJHNOKD_00046	CDS	300				hypothetical protein
NLJHNOKD_00047	CDS	384				hypothetical protein
NLJHNOKD_00048	CDS	444				hypothetical protein
NLJHNOKD_00049	CDS	690				hypothetical protein
NLJHNOKD_00050	CDS	489				hypothetical protein
NLJHNOKD_00051	CDS	1221	setC		COG2814	Sugar efflux transporter C
NLJHNOKD_00052	CDS	867	oxyR		COG0583	DNA-binding transcriptional dual regulator OxyR
NLJHNOKD_00053	CDS	645				hypothetical protein
NLJHNOKD_00054	CDS	474				hypothetical protein
NLJHNOKD_00055	CDS	717				putative transcriptional regulatory protein
NLJHNOKD_00056	CDS	426	sarX			HTH-type transcriptional regulator SarX
NLJHNOKD_00057	CDS	903				hypothetical protein
NLJHNOKD_00058	CDS	1245	rhaR			HTH-type transcriptional activator RhaR
NLJHNOKD_00059	CDS	645				hypothetical protein
NLJHNOKD_00060	CDS	798		3.5.1.28	COG1388	putative autolysin SsaALP
NLJHNOKD_00061	CDS	1008				hypothetical protein
NLJHNOKD_00062	CDS	618				hypothetical protein
NLJHNOKD_00063	CDS	1890	bceB_1		COG0577	Bacitracin export permease protein BceB
NLJHNOKD_00064	CDS	762	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
NLJHNOKD_00065	CDS	1041	graS	2.7.13.3		Sensor histidine kinase GraS
NLJHNOKD_00066	CDS	675	graR_1		COG0745	Response regulator protein GraR
NLJHNOKD_00067	CDS	924	graX		COG0451	Auxiliary protein GraX
NLJHNOKD_00068	CDS	507	rimI_1	2.3.1.266		[Ribosomal protein bS18]-alanine N-acetyltransferase
NLJHNOKD_00069	CDS	429				hypothetical protein
NLJHNOKD_00070	CDS	1044	aes	3.1.1.-		Acetyl esterase
NLJHNOKD_00071	CDS	1068				hypothetical protein
NLJHNOKD_00072	CDS	498				hypothetical protein
NLJHNOKD_00073	CDS	363	dhaM	2.7.1.121	COG3412	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
NLJHNOKD_00074	CDS	585	dhaL	2.7.1.121	COG1461	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
NLJHNOKD_00075	CDS	969	dhaK	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
NLJHNOKD_00076	CDS	1017	feuC		COG0609	Iron-uptake system permease protein FeuC
NLJHNOKD_00077	CDS	1005	feuB		COG0609	Iron-uptake system permease protein FeuB
NLJHNOKD_00078	CDS	798	fepC	7.2.2.17	COG1120	Ferric enterobactin transport ATP-binding protein FepC
NLJHNOKD_00079	CDS	834				hypothetical protein
NLJHNOKD_00080	CDS	1230	nupG		COG1972	Purine nucleoside transport protein NupG
NLJHNOKD_00081	CDS	1728	bmrA	7.6.2.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
NLJHNOKD_00082	CDS	1296	pbp4			D-alanyl-D-alanine carboxypeptidase PBP4
NLJHNOKD_00083	CDS	399	tarD	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
NLJHNOKD_00084	CDS	1062	tagX	2.4.-.-		Putative glycosyltransferase TagX
NLJHNOKD_00085	CDS	1104	tarB	2.7.8.44	COG1887	Teichoic acid glycerol-phosphate primase
NLJHNOKD_00086	CDS	813	tagG		COG1682	Teichoic acid translocation permease protein TagG
NLJHNOKD_00087	CDS	795	tagH_1	7.5.2.4		Teichoic acids export ATP-binding protein TagH
NLJHNOKD_00088	CDS	765	tarA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
NLJHNOKD_00089	CDS	753				hypothetical protein
NLJHNOKD_00090	CDS	645	mntR			HTH-type transcriptional regulator MntR
NLJHNOKD_00091	CDS	744	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
NLJHNOKD_00092	CDS	837	mntB_2		COG1108	Manganese transport system membrane protein MntB
NLJHNOKD_00093	CDS	930	mntA		COG0803	Manganese-binding lipoprotein MntA
NLJHNOKD_00094	CDS	2043	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
NLJHNOKD_00095	CDS	438				hypothetical protein
NLJHNOKD_00096	CDS	303	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
NLJHNOKD_00097	CDS	483	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
NLJHNOKD_00098	CDS	1497	mnhD1_1			Na(+)/H(+) antiporter subunit D1
NLJHNOKD_00099	CDS	345	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
NLJHNOKD_00100	CDS	426	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
NLJHNOKD_00101	CDS	2403	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
NLJHNOKD_00102	CDS	561	xerD_1			Tyrosine recombinase XerD
NLJHNOKD_00103	CDS	204				hypothetical protein
NLJHNOKD_00104	CDS	225				hypothetical protein
NLJHNOKD_00105	CDS	930				hypothetical protein
NLJHNOKD_00106	CDS	375	sarA		COG1846	Transcriptional regulator SarA
NLJHNOKD_00107	CDS	789	pip	3.4.11.5		Proline iminopeptidase
NLJHNOKD_00108	CDS	717				hypothetical protein
NLJHNOKD_00109	CDS	507				hypothetical protein
NLJHNOKD_00110	CDS	801			COG2267	putative protein
NLJHNOKD_00111	CDS	720	hdl IVa	3.8.1.2		(S)-2-haloacid dehalogenase 4A
NLJHNOKD_00112	CDS	987	molB		COG0609	Molybdate import system permease protein MolB
NLJHNOKD_00113	CDS	888	btuF		COG0614	Vitamin B12-binding protein
NLJHNOKD_00114	CDS	636	nth_1	4.2.99.18		Endonuclease III
NLJHNOKD_00115	CDS	1662	argS	6.1.1.19		Arginine--tRNA ligase
NLJHNOKD_00116	CDS	417	ywiB		COG4506	putative beta-barrel protein YwiB
NLJHNOKD_00117	CDS	1011	adh	1.1.1.1		Alcohol dehydrogenase
NLJHNOKD_00118	CDS	507				hypothetical protein
NLJHNOKD_00119	CDS	1296				hypothetical protein
NLJHNOKD_00120	CDS	477	rimI_2	2.3.1.266		[Ribosomal protein bS18]-alanine N-acetyltransferase
NLJHNOKD_00121	CDS	537	ywqN	1.-.-.-	COG0655	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN
NLJHNOKD_00122	CDS	939	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
NLJHNOKD_00123	CDS	627				hypothetical protein
NLJHNOKD_00124	CDS	246				hypothetical protein
NLJHNOKD_00125	CDS	636				hypothetical protein
NLJHNOKD_00126	CDS	642				hypothetical protein
NLJHNOKD_00127	CDS	630				hypothetical protein
NLJHNOKD_00128	CDS	630				hypothetical protein
NLJHNOKD_00129	CDS	633				hypothetical protein
NLJHNOKD_00130	CDS	621				hypothetical protein
NLJHNOKD_00131	CDS	630				hypothetical protein
NLJHNOKD_00132	CDS	618				hypothetical protein
NLJHNOKD_00133	CDS	642				hypothetical protein
NLJHNOKD_00134	CDS	627				hypothetical protein
NLJHNOKD_00135	CDS	624				hypothetical protein
NLJHNOKD_00136	CDS	1407				hypothetical protein
NLJHNOKD_00137	CDS	441				hypothetical protein
NLJHNOKD_00138	CDS	1323	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
NLJHNOKD_00139	CDS	342				hypothetical protein
NLJHNOKD_00140	CDS	1077		2.7.4.2		Phosphomevalonate kinase
NLJHNOKD_00141	CDS	984				hypothetical protein
NLJHNOKD_00142	CDS	921	galK	2.7.1.6		Galactokinase
NLJHNOKD_00143	CDS	837	lipL	2.3.1.204	COG0095	Octanoyl-[GcvH]:protein N-octanoyltransferase
NLJHNOKD_00144	CDS	987	pta	2.3.1.8		Phosphate acetyltransferase
NLJHNOKD_00145	CDS	753	chdC	1.3.98.5		Coproheme decarboxylase
NLJHNOKD_00146	CDS	765				hypothetical protein
NLJHNOKD_00147	CDS	453				hypothetical protein
NLJHNOKD_00148	CDS	1485				hypothetical protein
NLJHNOKD_00149	CDS	369				hypothetical protein
NLJHNOKD_00150	CDS	378				hypothetical protein
NLJHNOKD_00151	CDS	657	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
NLJHNOKD_00152	CDS	831	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
NLJHNOKD_00153	CDS	168				hypothetical protein
NLJHNOKD_00154	CDS	237				hypothetical protein
NLJHNOKD_00155	CDS	366				hypothetical protein
NLJHNOKD_00156	CDS	1140	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
NLJHNOKD_00157	CDS	1377	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
NLJHNOKD_00158	CDS	1401	proP		COG0477	Proline/betaine transporter
NLJHNOKD_00159	CDS	648	indB_1	3.-.-.-	COG0546	putative phosphatase IndB
NLJHNOKD_00160	CDS	549	hxlB	5.3.1.27	COG0794	3-hexulose-6-phosphate isomerase
NLJHNOKD_00161	CDS	633		4.1.2.43		3-hexulose-6-phosphate synthase
NLJHNOKD_00162	CDS	759	nagB_1	3.5.99.6		Glucosamine-6-phosphate deaminase
NLJHNOKD_00163	CDS	363	yojF		COG2120	putative protein YojF
NLJHNOKD_00164	CDS	666	bshB2	3.5.1.-	COG2120	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
NLJHNOKD_00165	CDS	879	folE2	3.5.4.16		GTP cyclohydrolase FolE2
NLJHNOKD_00166	CDS	1491	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
NLJHNOKD_00167	CDS	1473	gtfA_2	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
NLJHNOKD_00168	CDS	3756	sdrD		COG4932	Serine-aspartate repeat-containing protein D
NLJHNOKD_00169	CDS	2916	sdrC		COG3266	Serine-aspartate repeat-containing protein C
NLJHNOKD_00170	CDS	567	azo1	1.7.-.-		FMN-dependent NADPH-azoreductase
NLJHNOKD_00171	CDS	870	ywpJ_1	3.1.3.-	COG0561	Phosphatase YwpJ
NLJHNOKD_00172	CDS	471	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
NLJHNOKD_00173	CDS	618	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
NLJHNOKD_00174	CDS	663	dck	2.7.1.74	COG1428	Deoxyadenosine/deoxycytidine kinase
NLJHNOKD_00175	CDS	684	indB_2	3.-.-.-	COG0546	putative phosphatase IndB
NLJHNOKD_00176	CDS	1077	ilvE	2.6.1.42		putative branched-chain-amino-acid aminotransferase
NLJHNOKD_00177	CDS	966				putative epimerase/dehydratase
NLJHNOKD_00178	CDS	1638	araB	2.7.1.16	COG1069	Ribulokinase
NLJHNOKD_00179	CDS	879	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase HchA
NLJHNOKD_00180	CDS	1188		2.3.1.-		Putative pyridoxal phosphate-dependent acyltransferase
NLJHNOKD_00181	CDS	1176		3.-.-.-	COG1473	putative hydrolase
NLJHNOKD_00182	CDS	1185	tuf	3.6.5.3		Elongation factor Tu
NLJHNOKD_00183	CDS	2082	fusA			elongation factor G FusA
NLJHNOKD_00184	CDS	471	rpsG		COG0049	Small ribosomal subunit protein uS7
NLJHNOKD_00185	CDS	414	rpsL		COG0048	Small ribosomal subunit protein uS12
NLJHNOKD_00186	CDS	255	rulS		COG1358	RNA-binding protein YbxF
NLJHNOKD_00187	CDS	3624	rpoC			DNA-directed RNA polymerase subunit beta RpoC
NLJHNOKD_00188	CDS	3552	rpoB			DNA-directed RNA polymerase subunit beta RpoB
NLJHNOKD_00189	CDS	609	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
NLJHNOKD_00190	CDS	369	rplL			Large ribosomal subunit protein bL12
NLJHNOKD_00191	CDS	501	rplJ			Large ribosomal subunit protein uL10
NLJHNOKD_00192	CDS	693	rplA			Large ribosomal subunit protein uL1
NLJHNOKD_00193	CDS	423	rplK			Large ribosomal subunit protein uL11
NLJHNOKD_00194	CDS	549	nusG			Transcription termination/antitermination protein NusG
NLJHNOKD_00195	CDS	183	secE			Protein translocase subunit SecE
NLJHNOKD_00196	CDS	570				hypothetical protein
NLJHNOKD_00197	CDS	525	yacP		COG3688	putative protein YacP
NLJHNOKD_00198	CDS	747		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
NLJHNOKD_00199	CDS	405	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
NLJHNOKD_00200	CDS	1401	cysS	6.1.1.16		Cysteine--tRNA ligase
NLJHNOKD_00201	CDS	681	cysE	2.3.1.30		Serine acetyltransferase
NLJHNOKD_00202	CDS	1455	gltX	6.1.1.17		Glutamate--tRNA ligase
NLJHNOKD_00203	CDS	1074	yacL_1	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
NLJHNOKD_00204	CDS	1365	radA	3.6.4.-	COG1066	DNA repair protein RadA
NLJHNOKD_00205	CDS	2457	clpC		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpC
NLJHNOKD_00206	CDS	1011	mcsB	2.7.14.1	COG3869	Protein-arginine kinase
NLJHNOKD_00207	CDS	567	mcsA		COG3880	Protein-arginine kinase activator protein
NLJHNOKD_00208	CDS	471	ctsR		COG4463	Transcriptional regulator CtsR
NLJHNOKD_00209	CDS	1215	nupC_1		COG1972	Nucleoside permease NupC
NLJHNOKD_00210	CDS	561	pdxT	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
NLJHNOKD_00211	CDS	888	pdxS	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxS
NLJHNOKD_00212	CDS	1383	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
NLJHNOKD_00213	CDS	663	ktrC		COG0569	Ktr system potassium uptake protein C
NLJHNOKD_00214	CDS	1020	ythB		COG1294	Putative cytochrome bd menaquinol oxidase subunit II
NLJHNOKD_00215	CDS	1362	ythA	1.10.3.-	COG1271	Putative cytochrome bd menaquinol oxidase subunit I
NLJHNOKD_00216	CDS	234				hypothetical protein
NLJHNOKD_00217	CDS	1719	ptsI	2.7.3.9		Phosphoenolpyruvate-protein phosphotransferase
NLJHNOKD_00218	CDS	267	ptsH			Phosphocarrier protein HPr
NLJHNOKD_00219	CDS	543				hypothetical protein
NLJHNOKD_00220	CDS	1173	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
NLJHNOKD_00221	CDS	1296				hypothetical protein
NLJHNOKD_00222	CDS	135				hypothetical protein
NLJHNOKD_00223	CDS	576	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
NLJHNOKD_00224	CDS	1401	ykoD_1	7.6.2.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
NLJHNOKD_00225	CDS	807	ecfT_1			Energy-coupling factor transporter transmembrane protein EcfT
NLJHNOKD_00226	CDS	1248	purD	6.3.4.13		Phosphoribosylamine--glycine ligase
NLJHNOKD_00227	CDS	1479	purH			Bifunctional purine biosynthesis protein PurH
NLJHNOKD_00228	CDS	567	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
NLJHNOKD_00229	CDS	1029	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
NLJHNOKD_00230	CDS	1485	purF	2.4.2.14		Amidophosphoribosyltransferase
NLJHNOKD_00231	CDS	2190	purL	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
NLJHNOKD_00232	CDS	672	purQ	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurQ
NLJHNOKD_00233	CDS	264	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
NLJHNOKD_00234	CDS	705	purC	6.3.2.6		Phosphoribosylaminoimidazole-succinocarboxamide synthase
NLJHNOKD_00235	CDS	1125	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
NLJHNOKD_00236	CDS	483	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
NLJHNOKD_00237	CDS	861	folD			Bifunctional protein FolD protein
NLJHNOKD_00238	CDS	318				hypothetical protein
