# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_1_length_221181_cov_231.485492	193919	190296	-	1718.4	1053	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_1_length_221181_cov_231.485492	197607	194056	-	1299.7	811	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_2_length_205520_cov_212.013608	21495	19306	-	336.9	405	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_3_length_190121_cov_203.196926	158158	155525	-	558.4	548	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_23_length_40534_cov_221.091010	35446	37431	+	760.3	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_14_length_70073_cov_210.131480	19502	21349	+	534.3	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_3_length_190121_cov_203.196926	131506	129683	-	737.7	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_7_length_137367_cov_265.552610	40168	38807	-	317.8	260	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_4_length_159364_cov_195.254851	10758	12833	+	538.8	463	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_3_length_190121_cov_203.196926	171464	169698	-	614.9	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_7_length_137367_cov_265.552610	18245	16962	-	327.1	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_2_length_205520_cov_212.013608	19327	17843	-	253.9	293	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_7_length_137367_cov_265.552610	27900	26614	-	400.5	312	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_4_length_159364_cov_195.254851	32527	33702	+	183.3	210	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_10_length_105441_cov_213.290342	38505	37243	-	329.4	284	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_13_length_73100_cov_229.177617	41132	39720	-	568.2	369	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_26_length_31496_cov_215.443656	21587	20397	-	171.0	222	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_14_length_70073_cov_210.131480	47695	48753	+	422.6	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_31_length_22810_cov_243.993979	16585	15044	-	309.5	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_1_length_221181_cov_231.485492	211600	210236	-	221.6	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_26_length_31496_cov_215.443656	17864	16560	-	382.6	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_8_length_131064_cov_236.695746	58110	57166	-	253.2	223	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_4_length_159364_cov_195.254851	25472	27175	+	761.7	540	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NODE_24_length_37904_cov_236.807842	30461	28488	-	194.4	277	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_3_length_190121_cov_203.196926	27149	26490	-	239.1	204	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NODE_13_length_73100_cov_229.177617	43559	42051	-	670.5	412	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_23_length_40534_cov_221.091010	14928	14005	-	158.4	206	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_3_length_190121_cov_203.196926	186198	185194	-	403.4	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NODE_2_length_205520_cov_212.013608	17850	16822	-	431.8	311	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NODE_2_length_205520_cov_212.013608	14738	13491	-	563.0	416	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
