#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_190121_cov_203.196926:113535-114434|- -            300 984717at2            -            224   3.6e-68  227.0  14.3   1   1     6e-67   1.3e-64  215.3  14.3     1   220     8   287     8   294 0.79 NODE_3_length_190121_cov_203.196926_115 # 113535 # 114434 # -1 # ID=3_115;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.331
NODE_3_length_190121_cov_203.196926:23071-24381|-   -            437 984717at2            -            224   1.4e-34  117.2   4.4   1   2   1.5e-20   3.4e-18   63.6   0.2     2   109     6   129     5   135 0.73 NODE_3_length_190121_cov_203.196926_24 # 23071 # 24381 # -1 # ID=3_24;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NODE_3_length_190121_cov_203.196926:23071-24381|-   -            437 984717at2            -            224   1.4e-34  117.2   4.4   2   2   9.3e-18   2.1e-15   54.4   0.5     3   107   179   302   177   334 0.74 NODE_3_length_190121_cov_203.196926_24 # 23071 # 24381 # -1 # ID=3_24;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NODE_7_length_137367_cov_265.552610:41649-43028|+   -            460 984717at2            -            224   1.7e-14   51.4   2.6   1   2       3.6     8e+02   -3.1   0.1   106   134   163   189   134   205 0.60 NODE_7_length_137367_cov_265.552610_31 # 41649 # 43028 # 1 # ID=7_31;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.341
NODE_7_length_137367_cov_265.552610:41649-43028|+   -            460 984717at2            -            224   1.7e-14   51.4   2.6   2   2   7.9e-17   1.7e-14   51.4   2.6     3   107   225   343   223   366 0.80 NODE_7_length_137367_cov_265.552610_31 # 41649 # 43028 # 1 # ID=7_31;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.341
NODE_4_length_159364_cov_195.254851:3082-3966|+     -            295 984717at2            -            224   5.6e-12   43.2   2.2   1   3     0.032       7.2    3.6   0.2    66   104    17    63     3    87 0.73 NODE_4_length_159364_cov_195.254851_2 # 3082 # 3966 # 1 # ID=4_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.334
NODE_4_length_159364_cov_195.254851:3082-3966|+     -            295 984717at2            -            224   5.6e-12   43.2   2.2   2   3       2.2     5e+02   -2.4   0.0   180   199    88   107    72   111 0.78 NODE_4_length_159364_cov_195.254851_2 # 3082 # 3966 # 1 # ID=4_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.334
NODE_4_length_159364_cov_195.254851:3082-3966|+     -            295 984717at2            -            224   5.6e-12   43.2   2.2   3   3   5.7e-13   1.3e-10   38.8   0.1     3    66   124   185   122   206 0.83 NODE_4_length_159364_cov_195.254851_2 # 3082 # 3966 # 1 # ID=4_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.334
NODE_21_length_46212_cov_202.697359:17628-18218|-   -            197 984717at2            -            224   7.9e-11   39.5   0.1   1   1   5.9e-13   1.3e-10   38.7   0.1     2    63    28    88    27   149 0.84 NODE_21_length_46212_cov_202.697359_17 # 17628 # 18218 # -1 # ID=21_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.288
NODE_16_length_65196_cov_204.044227:52662-56102|-   -           1147 984717at2            -            224   8.6e-10   36.1   6.4   1   4   2.9e-06   0.00065   16.8   0.0     3    49    44    89    42   121 0.87 NODE_16_length_65196_cov_204.044227_26 # 52662 # 56102 # -1 # ID=16_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_16_length_65196_cov_204.044227:52662-56102|-   -           1147 984717at2            -            224   8.6e-10   36.1   6.4   2   4    0.0071       1.6    5.8   0.1    48   104   132   199   116   217 0.73 NODE_16_length_65196_cov_204.044227_26 # 52662 # 56102 # -1 # ID=16_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305
